borough,neighborhood,building_class_category,tax_class_at_present,block,lot,building_class_at_present,address,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,building_age
1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS                    ,1,622,32,S1,395 BLEECKER STREET,10014,1,1,2,1425.0,3040.0,1899,1,S1,11139450.0,2017-03-09,118
1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS                    ,1,625,39,S1,21 EIGHTH AVENUE,10014,1,1,2,757.0,1854.0,1900,1,S1,5550000.0,2017-07-12,117
1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,527,92,S2,29 DOWNING ST,10014,2,1,3,1750.0,3480.0,1900,1,S2,6800000.0,2016-11-16,116
1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,604,7,S2,176 CHRISTOPHER STREET,10014,2,1,3,1368.0,4200.0,1920,1,S2,9750000.0,2017-04-13,97
1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,607,44,S2,471 AVENUE OF THE AMERIC,10011,2,1,3,1200.0,2680.0,1910,1,S2,5570000.0,2017-01-30,107
1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,611,74,B2,149 WEST 10TH   STREET,10014,2,0,2,1606.0,4538.0,1920,1,B2,9600000.0,2017-08-23,97
1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,619,19,B9,232 WEST 10TH STREET,10014,2,0,2,943.0,2684.0,1899,1,B9,3950000.0,2017-08-25,118
1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,621,74,B3,77 CHARLES STREET,10014,2,0,2,1905.0,3600.0,1905,1,B3,15000000.0,2017-07-27,112
1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,622,19,S2,394 BLEECKER STREET,10014,2,1,3,950.0,2334.0,1901,1,S2,8900000.0,2016-09-15,115
1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,623,36,B1,56 BANK STREET,10014,2,0,2,840.0,2160.0,1899,1,B1,7000000.0,2017-03-10,118
1,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,635,24,B3,19 BETHUNE STREET,10014,2,0,2,1672.0,3700.0,1899,1,B3,7400000.0,2017-01-24,118
